Accession	Location	Organism	Specimen_Voucher	Isolate	Gcode	Country	Lat_lon	Collection_date	Collected_by	Tech
gbMF358812.1	mitochondrion	Ischnura_senegalensis		Jian.1	5					
gbMF358820.1	mitochondrion	Ischnura_senegalensis		Haikou.1	5					
gbKM532708.1	mitochondrion	Ischnura_verticalis	08OMSOD-0100		5	Canada:_Manitoba,_Riding_Mountain_NP,_Clear_Lake_trail	50.66_N	06-Jul-2008	BIObus_2008	barcode
dbjAB757994.1	mitochondrion	Ischnura_senegalensis		konan09M2	5	Japan:_Okayama,_Okayama				
dbjAB758096.1	mitochondrion	Ischnura_senegalensis		yonago09M4	5	Japan:_Tottori,_Yonago				
dbjAB758041.1	mitochondrion	Ischnura_senegalensis		ohori09M2	5	Japan:_Fukuoka,_Fukuoka				
dbjAB757962.1	mitochondrion	Ischnura_senegalensis		ishin11M3	5	Japan:_Aichi,_Nagoya				
dbjAB757927.1	mitochondrion	Ischnura_senegalensis		heiwa11M8	5	Japan:_Okinawa,_Itoman				
dbjAB757921.1	mitochondrion	Ischnura_senegalensis		heiwa11M1	5	Japan:_Okinawa,_Itoman				
dbjAB757891.1	mitochondrion	Ischnura_senegalensis		asahata09M2	5	Japan:_Shizuoka,_Shizuoka				
gbHQ986289.1	mitochondrion	Ischnura_sp._BOLD:AAA2219	BIOUG<CAN>:10BBODA-0193		5	USA	34.75_N	27-Apr-2010	Biobus_2010	barcode
gbHQ986284.1	mitochondrion	Ischnura_sp._BOLD:AAA2219	BIOUG<CAN>:10BBODA-0188		5	USA	34.75_N	27-Apr-2010	Biobus_2010	barcode
gbHQ986281.1	mitochondrion	Ischnura_sp._BOLD:AAA2219	BIOUG<CAN>:10BBODA-0185		5	USA	34.75_N	27-Apr-2010	Biobus_2010	barcode
gbHM400578.1	mitochondrion	Ischnura_posita	UNB-022-N01-OE		5	Canada	46.132_N	10-Oct-2007	Colin_Curry	barcode
gbHM413564.1	mitochondrion	Ischnura_posita	BIOUG<CAN>:09BBEOD-0127		5	Canada	44.4007_N	04-Aug-2009	J._Cossey,_J._Fernandez,_R._Labbee,_J._Smith,_M._Zhang	barcode
gbHM381228.1	mitochondrion	Ischnura_sp._ODSO823-08	BIOUG<CAN>:08BBODO-333		5	Canada	48.59_N	19-Aug-2008	J.Straka,J.Cossey	barcode
gbHM381221.1	mitochondrion	Ischnura_sp._ODSO395-08	BIOUG<CAN>:08OMSOD-0188		5	Canada	50.881_N	13-Jul-2008	J.Cossey,_N.Jeffery,_J.Straka	barcode
gbMF774518.1	mitochondrion	Libellulidae_sp._Dargai_7		Dargai_7	5					
gbKM537155.1	mitochondrion	Ischnura_sp._BOLD:ABZ2709	08BBODO-033		5	Canada:_Alberta,_Waterton_Lakes_NP,_Maskinonge_Lake	49.11_N	26-Jul-2008	BIObus_2008	barcode
gbKM536053.1	mitochondrion	Ischnura_verticalis	08OMSOD-0038		5	Canada:_Ontario,_Pukaskwa_NP,_Hattie_Cove_Campground	48.589_N	18-Aug-2008	BIObus_2008	barcode
gbKM528644.1	mitochondrion	Ischnura_sp._BOLD:ABZ2709	08BBODO-067		5	Canada:_Alberta,_Banff_NP,_Cave_and_Basin_Area	51.171_N	30-Jul-2008	BIObus_2008	barcode
dbjAB758069.1	mitochondrion	Ischnura_senegalensis		ozutsumi09M4	5	Japan:_Fukui,_Sakai				
dbjAB757966.1	mitochondrion	Ischnura_senegalensis		ishin11M7	5	Japan:_Aichi,_Nagoya				
gbHQ986325.1	mitochondrion	Ischnura_posita	BIOUG<CAN>:10BBODA-0230		5	USA	35.0761_N	18-May-2010	Biobus_2010	barcode
gbHM400590.1	mitochondrion	Coenagrionidae_sp._ECODB382-09	UNB-023-N09-OE		5	Canada	46.198_N	30-Aug-2007	Colin_Curry	barcode
gbHM400571.1	mitochondrion	Ischnura_sp._ECODB325-09	UNB-013-N01-OE		5	Canada	46.132_N	10-Oct-2007	Colin_Curry	barcode
dbjLC101599.1	mitochondrion	Ischnura_asiatica		kenkyu12M3	5	Japan			Yuma_Takahashi	
dbjLC101563.1	mitochondrion	Ischnura_asiatica		shinchi11M8	5	Japan			Yuma_Takahashi	
dbjLC101546.1	mitochondrion	Ischnura_asiatica		park11M6	5	Japan			Yuma_Takahashi	
gbKM534572.1	mitochondrion	Ischnura_sp._BOLD:ABZ2709	08OMSOD-0239		5	Canada:_Saskatchewan,_Grasslands_NP,_East_Block_badlands	49.071_N	16-Jul-2008	BIObus_2008	barcode
gbKM528643.1	mitochondrion	Ischnura_sp._BOLD:ABZ2709	08BBODO-066		5	Canada:_Alberta,_Banff_NP,_Cave_and_Basin_Area	51.171_N	30-Jul-2008	BIObus_2008	barcode
gbJN294456.1	mitochondrion	Ischnura_sp._BBODA140-10	BIOUG<CAN>:10BBODO-0235		5	Canada	49.045_N	04-Jul-2010	BIObus_2010	barcode
gbHQ986250.1	mitochondrion	Ischnura_sp._BOLD:AAA2219	BIOUG<CAN>:10BBODA-0153		5	USA	27.2524_N	19-Mar-2010	Biobus_2010	barcode
gbHQ986246.1	mitochondrion	Ischnura_sp._BOLD:AAA2219	BIOUG<CAN>:10BBODA-0149		5	USA	27.2524_N	19-Mar-2010	Biobus_2010	barcode
gbKM534864.1	mitochondrion	Ischnura_sp._BOLD:ABZ2709	08BBODO-078		5	Canada:_Alberta,_Banff_NP,_Cave_and_Basin_Area	51.171_N	30-Jul-2008	BIObus_2008	barcode
gbKF257118.1	mitochondrion	Ischnura_elegans	ZYG18		5					
gbMW666056.1	mitochondrion	Ischnura_senegalensis		ISN6	5	India		23-May-2017	Nitha_Bose_C	
gbMF358824.1	mitochondrion	Ischnura_senegalensis		Zhanjiang.3	5					
gbMF358813.1	mitochondrion	Ischnura_senegalensis		Jian.2	5					
dbjLC101610.1	mitochondrion	Ischnura_asiatica		otto12M5	5	Japan			Yuma_Takahashi	
dbjLC101607.1	mitochondrion	Ischnura_asiatica		otto12M2	5	Japan			Yuma_Takahashi	
dbjLC101605.1	mitochondrion	Ischnura_asiatica		otto12F6	5	Japan			Yuma_Takahashi	
dbjLC101596.1	mitochondrion	Ischnura_asiatica		kenkyu12F4	5	Japan			Yuma_Takahashi	
dbjLC101590.1	mitochondrion	Ischnura_asiatica		shinoba12M3	5	Japan			Yuma_Takahashi	
dbjLC101589.1	mitochondrion	Ischnura_asiatica		shinoba12M2	5	Japan			Yuma_Takahashi	
dbjLC101587.1	mitochondrion	Ischnura_asiatica		shinoba12F3	5	Japan			Yuma_Takahashi	
dbjLC101584.1	mitochondrion	Ischnura_asiatica		konan12M5	5	Japan			Yuma_Takahashi	
dbjLC101580.1	mitochondrion	Ischnura_asiatica		konan12L8	5	Japan			Yuma_Takahashi	
dbjLC101578.1	mitochondrion	Ischnura_asiatica		konan12L6	5	Japan			Yuma_Takahashi	
dbjLC101576.1	mitochondrion	Ischnura_asiatica		konan12L4	5	Japan			Yuma_Takahashi	
dbjLC101572.1	mitochondrion	Ischnura_asiatica		ishin11M1	5	Japan			Yuma_Takahashi	
dbjLC101569.1	mitochondrion	Ischnura_asiatica		toriyano11M6	5	Japan			Yuma_Takahashi	
dbjLC101566.1	mitochondrion	Ischnura_asiatica		toriyano11M3	5	Japan			Yuma_Takahashi	
dbjLC101564.1	mitochondrion	Ischnura_asiatica		toriyano11M1	5	Japan			Yuma_Takahashi	
dbjLC101560.1	mitochondrion	Ischnura_asiatica		shinchi11M5	5	Japan			Yuma_Takahashi	
dbjLC101540.1	mitochondrion	Ischnura_asiatica		natorichosei11M8	5	Japan			Yuma_Takahashi	
dbjLC101521.1	mitochondrion	Ischnura_asiatica		hatukaM4	5	Japan			Yuma_Takahashi	
dbjLC101518.1	mitochondrion	Ischnura_asiatica		hatukaM1	5	Japan			Yuma_Takahashi	
dbjLC101514.1	mitochondrion	Ischnura_asiatica		fujinumaM5	5	Japan			Yuma_Takahashi	
dbjLC101504.1	mitochondrion	Ischnura_asiatica		baba11M2	5	Japan			Yuma_Takahashi	
gbKC912315.1	mitochondrion	Ischnura_graellsii	Igr2		5	Spain				
gbMH449998.1	mitochondrion	Ischnura_asiatica		6991	5	China:_Beijing			H.J._Dumont	
dbjLC101611.1	mitochondrion	Ischnura_asiatica		otto12M6	5	Japan			Yuma_Takahashi	
dbjLC101608.1	mitochondrion	Ischnura_asiatica		otto12M3	5	Japan			Yuma_Takahashi	
dbjLC101606.1	mitochondrion	Ischnura_asiatica		otto12M1	5	Japan			Yuma_Takahashi	
dbjLC101602.1	mitochondrion	Ischnura_asiatica		otto12F3	5	Japan			Yuma_Takahashi	
dbjLC101600.1	mitochondrion	Ischnura_asiatica		otto12F1	5	Japan			Yuma_Takahashi	
dbjLC101598.1	mitochondrion	Ischnura_asiatica		kenkyu12M2	5	Japan			Yuma_Takahashi	
gbOR653522.1	mitochondrion	Ischnura_aurora		BMR03938	5	Australia:_Western_Australia	22.541529_S			
