Accession	Location	Organism	Specimen_Voucher	Isolate	Gcode	Country	Lat_lon	Collection_date	Collected_by	Tech
gbMW490412.1	mitochondrion	Ischnura_elegans	GBOL05508		5	Germany:_Bavaria,_Vorflutgraben_Nord	48.378_N	22-May-2014	M._Franzen	barcode
gbMW490382.1	mitochondrion	Ischnura_elegans	GBOL02841		5	Germany:_Bavaria				barcode
gbMW490371.1	mitochondrion	Ischnura_elegans	ODOPL_148		5	Poland:_Wadolek_Lake,_Wigry_National_Park	54.112_N	12-Jun-2019	Grzegorz_Tonczyk	barcode
gbMW490314.1	mitochondrion	Ischnura_elegans	ODOPL_147		5	Poland:_Wadolek_Lake,_Wigry_National_Park	54.112_N	12-Jun-2019	Grzegorz_Tonczyk	barcode
gbMW490310.1	mitochondrion	Ischnura_elegans	GBOL05513		5	Austria:_Burgenland,_Kiesgrube_Rosaliakapelle	47.782_N	12-Jun-2014	M._Franzen	barcode
gbMW490302.1	mitochondrion	Ischnura_elegans	ZFMK-TIS-2556887		5	Germany:_Mecklenburg-Vorpommern,_Boek,_MF3,_Kronendachluecke	53.4255_N		GBOL-Team_ZFMK	barcode
gbMW490135.1	mitochondrion	Ischnura_elegans	GBOL05460		5	Greece:_Evros,_Evros_Delta	40.826_N	07-Jun-2014	H._Muehle	barcode
gbMW490113.1	mitochondrion	Ischnura_elegans	GBOL02845		5	Germany:_Bavaria			E._Toussaint	barcode
gbMT298477.1	mitochondrion	Ischnura_saharensis	MIB:ZPL:08644		5	Morocco	28.50_N		A._Galimberti,_G._Assandri	barcode
gbMT298471.1	mitochondrion	Ischnura_genei	MIB:ZPL:08254		5	Italy:_Sicily,_Siracusa	37.10_N		A._Galimberti,_G._Assandri	barcode
gbMT298467.1	mitochondrion	Ischnura_elegans	MIB:ZPL:08238		5	Italy:_Apulia,_Lecce	40.20_N		A._Galimberti,_G._Assandri	barcode
gbMT298465.1	mitochondrion	Ischnura_elegans	MIB:ZPL:08230		5	Italy:_Trentino-Alto_Adige,_Trento	46.20_N		A._Galimberti,_G._Assandri	barcode
gbMT298464.1	mitochondrion	Ischnura_elegans	MIB:ZPL:08626		5	Montenegro	41.95_N		A._Galimberti,_G._Assandri	barcode
gbMT216297.1	mitochondrion	Ischnura_elegans	OdoPL59		5	Poland:_River_Odra,_Krapkowice	50.4761_N	11-Oct-2018	Tomasz_Rewicz	barcode
gbMT216295.1	mitochondrion	Ischnura_elegans	OdoPL89		5	Poland:_River_Plicia,_KurnEdz	51.3164_N	02-Nov-2018	Grzegorz_Tonczyk	barcode
gbMT216294.1	mitochondrion	Ischnura_elegans	OdoPL27		5	Poland:_River_Odra,_Brody	52.0552_N	10-Oct-2018	Tomasz_Rewicz	barcode
gbMT216293.1	mitochondrion	Ischnura_elegans	OdoPL61		5	Poland:_oxbow_of_Pilica_river,_Sulejow	51.3338_N	02-Nov-2018	Tomasz_Rewicz	barcode
gbMT216292.1	mitochondrion	Ischnura_elegans	OdoPL48		5	Poland:_River_Odra,_Leszkowice	51.6184_N	10-Oct-2018	Tomasz_Rewicz	barcode
gbMT216291.1	mitochondrion	Ischnura_elegans	OdoPL60		5	Poland:_River_Odra,_Krapkowice	50.4761_N	11-Oct-2018	Tomasz_Rewicz	barcode
gbMT216289.1	mitochondrion	Ischnura_elegans	OdoPL26		5	Poland:_River_Odra,_Brody	52.0552_N	10-Oct-2018	Tomasz_Rewicz	barcode
gbMT216287.1	mitochondrion	Ischnura_elegans	OdoPL28		5	Poland:_River_Odra,_Brody	52.0552_N	10-Oct-2018	Tomasz_Rewicz	barcode
gbMT216286.1	mitochondrion	Ischnura_elegans	OdoPL88		5	Poland:_River_Plicia,_KurnEdz	51.3164_N	02-Nov-2018	Grzegorz_Tonczyk	barcode
gbHQ563104.1	mitochondrion	Ischnura_elegans	BC_ZSM_AQU_00399		5	Germany	48.107_N	21-May-2009	Ober,_S._V.	barcode
gbHM376192.1	mitochondrion	Ischnura_elegans	BC_ZSM_AQU_00172		5	Germany		22-Jun-2009	Hess,_M.,_Heckes,_U.	barcode
gbMH449997.1	mitochondrion	Ischnura_rufostigma		2	5	China:_Shangri_La_Yunnan		Jul-2011	H.J._Dumont	
gbMH449996.1	mitochondrion	Ischnura_rufostigma			5	China:_Shangri_La_Yunnan		Jul-2011	H.J._Dumont	
gbKU220894.1	mitochondrion	Rhodischnura_nursei	R.nu		5	India			H._Dumont	barcode
gbMW490501.1	mitochondrion	Ischnura_elegans	GBOL02843		5	Germany:_Bavaria				barcode
gbMW490215.1	mitochondrion	Ischnura_elegans	GBOL_20184		5	Germany:_Bavaria,_Oberbayern,_Erding,_Flughafen_Muenchen,_Oberdingermoos	48.3305_N	04-Jul-2018	Stefan_Koch	barcode
gbMH450007.1	mitochondrion	Ischnura_fluviatilis			5	Brazil:_Rio_Doce_Lakes		Mar-2010	H.J._Dumont	
gbMH450002.1	mitochondrion	Ischnura_abyssinica		7002	5	Ethiopia:_Ambo		May-2004	V._Clausnitzer_K.D._Dijkstra	
gbKU220895.1	mitochondrion	Ischnura_fluviatilis	I.fl		5	Brazil			A._Rietzler	barcode
gbMW490414.1	mitochondrion	Ischnura_elegans	GBOL02844		5	Germany:_Bavaria			E._Toussaint	barcode
gbMT216300.1	mitochondrion	Ischnura_elegans	OdoPL49		5	Poland:_River_Odra,_Leszkowice	51.6184_N	10-Oct-2018	Tomasz_Rewicz	barcode
gbMT216299.1	mitochondrion	Ischnura_elegans	OdoPL87		5	Poland:_River_Plicia,_KurnEdz	51.3164_N	02-Nov-2018	Grzegorz_Tonczyk	barcode
gbMT216298.1	mitochondrion	Ischnura_elegans	OdoPL13		5	Poland:_River_Vistula,_Wyszogord	52.3855_N	05-Oct-2018	Grzegorz_Tonczyk	barcode
gbMT216296.1	mitochondrion	Ischnura_elegans	OdoPL14		5	Poland:_River_Vistula,_Wyszogord	52.3855_N	05-Oct-2018	Grzegorz_Tonczyk	barcode
gbMT216290.1	mitochondrion	Ischnura_elegans	OdoPL16		5	Poland:_River_Vitula,_Nieszawa	52.836_N	05-Oct-2018	Grzegorz_Tonczyk	barcode
gbMW490567.1	mitochondrion	Ischnura_elegans	GBOL_20186		5	Germany:_Bavaria,_Oberbayern,_Erding,_Flughafen_Muenchen,_Vorflutgraben_Nord	48.3537_N	04-Jul-2018	Stefan_Koch	barcode
gbMH449986.1	mitochondrion	Ischnura_nursei		6679	5	Iran:_Bandar_Abbas		Nov-2010	S._Sadeghi	
gbMW490337.1	mitochondrion	Ischnura_elegans	GBOL02852		5	Germany:_Bavaria				barcode
gbMT216288.1	mitochondrion	Ischnura_elegans	OdoPL15		5	Poland:_River_Vitula,_Nieszawa	52.836_N	05-Oct-2018	Grzegorz_Tonczyk	barcode
gbMW490402.1	mitochondrion	Ischnura_elegans	GBOL02851		5	Germany:_Bavaria				barcode
gbMH449991.1	mitochondrion	Ischnura_nursei		6692	5	Iran:_Sabaz_River		Oct-1997	H.J._Dumont	
gbJN311539.1	mitochondrion	Ischnura_sp._BOLD:AAH6880	10BBODA-0270		5	USA	26.00_N	14-Mar-2010	Biobus_2010	barcode
gbHQ986328.1	mitochondrion	Ischnura_ramburii	BIOUG<CAN>:10BBODA-0234		5	USA	29.8389_N	03-Apr-2010	Biobus_2010	barcode
gbMH449984.1	mitochondrion	Ischnura_nursei		6729	5	India:_Jaipur		Mar-1999	H.J._Dumont	
gbMH450004.1	mitochondrion	Ischnura_ramburii		7034	5	USA:_Maryland_Talbot_County		Jul-2003	R._Hovmoller	
gbOL898455.1	mitochondrion	Ischnura_ramburii	I.ramburii5		5					
gbMW509063.1	mitochondrion	Ischnura_elegans	IeleFin2		5	Finland				
